model,r2_train,r2_test,cv_r2_mean,rmse_test,mae_test
LinearRegression,0.5034475371198581,0.5582979754897286,0.505137381308234,4.704109194974887,3.6724145641788004
Ridge,0.5034464142206299,0.5581371308792575,0.5051482883427776,4.704965611405401,3.6738433219197804
Lasso,0.3457238837478981,0.346103805987103,0.3456394560605134,5.723571390808848,4.704653553359844
RandomForest,0.9907909888953588,0.9346677676387021,0.930228080030472,1.8091577978359328,1.2982735880398582
GradientBoosting,0.9240474171731694,0.8734683945207431,0.8854348185426586,2.517747704569304,1.8608650853329989
